timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
875,4.256,0.293,0.0,-1.0,0,0,0,-46,18.200000000000003,81.81,MEDIUM
880,4.898,0.111,0.0,-1.0,0,0,0,-46,10.0,81.92,MEDIUM
885,3.839,0.193,0.0,-1.0,0,0,0,-46,9.5,80.82,MEDIUM
890,4.435,0.24,0.0,-1.0,0,0,0,-46,14.299999999999997,80.98,MEDIUM
895,4.807,0.107,0.0,0.0,0,0,0,-46,9.5,81.03,MEDIUM
900,4.797,0.462,0.0,-1.0,0,0,0,-46,14.299999999999997,81.19,MEDIUM
905,9.317,5.099,0.0,-1.0,0,0,0,-46,10.0,81.34,MEDIUM
910,4.087,0.391,0.0,-1.0,0,0,0,-46,10.0,81.29,MEDIUM
915,4.462,0.504,0.0,-1.0,0,0,0,-46,9.5,81.4,MEDIUM
920,4.541,0.675,0.0,0.0,0,0,0,-46,13.599999999999994,81.5,MEDIUM
925,4.995,0.283,0.0,-1.0,0,0,0,-46,9.5,81.71,MEDIUM
930,3.911,0.773,0.0,-1.0,0,0,0,-46,13.599999999999994,83.06,MEDIUM
935,4.295,1.141,0.0,-1.0,0,0,0,-46,13.599999999999994,83.12,MEDIUM
940,4.807,0.356,0.0,-1.0,0,0,0,-46,13.599999999999994,83.17,MEDIUM
945,4.764,0.194,0.0,0.0,0,0,0,-46,22.700000000000003,83.06,MEDIUM
950,4.381,0.786,0.0,-1.0,0,0,0,-46,14.299999999999997,83.22,MEDIUM
955,4.896,0.378,0.0,-1.0,0,0,0,-46,10.0,83.48,MEDIUM
960,4.139,0.569,0.0,-1.0,0,0,0,-46,9.5,83.48,MEDIUM
965,4.769,0.198,0.0,-1.0,0,0,0,-46,13.599999999999994,83.53,MEDIUM
970,5.03,0.768,0.0,0.0,0,0,0,-46,17.400000000000006,82.75,MEDIUM
975,4.57,0.348,0.0,-1.0,0,0,0,-46,9.5,82.91,MEDIUM
980,4.938,0.235,0.0,-1.0,0,0,0,-46,5.0,83.06,MEDIUM
985,5.363,0.766,0.0,-1.0,0,0,0,-46,9.5,83.27,MEDIUM
990,4.748,0.113,0.0,-1.0,0,0,0,-46,9.5,83.38,MEDIUM
995,4.367,0.756,0.0,0.0,0,0,0,-46,9.5,83.43,MEDIUM
1000,5.123,0.747,0.0,-1.0,0,0,0,-46,9.5,83.53,MEDIUM
1005,5.087,0.427,0.0,-1.0,0,0,0,-46,9.5,83.48,MEDIUM
1010,5.777,0.809,0.0,-1.0,0,0,0,-46,9.5,83.53,MEDIUM
1015,4.359,0.455,0.0,-1.0,0,0,0,-46,13.599999999999994,83.32,MEDIUM
1020,4.391,0.518,0.0,0.0,0,0,0,-46,9.099999999999994,83.27,MEDIUM
1025,4.296,0.251,0.0,-1.0,0,0,0,-46,9.5,83.01,MEDIUM
1030,4.788,0.796,0.0,-1.0,0,0,0,-46,5.299999999999997,83.01,MEDIUM
1035,4.972,0.395,0.0,-1.0,0,0,0,-46,9.5,83.01,MEDIUM
1040,5.077,0.376,0.0,-1.0,0,0,0,-46,9.5,82.96,MEDIUM
1045,4.677,0.832,0.0,0.0,0,0,0,-46,9.5,82.44,MEDIUM
1050,4.823,0.612,0.0,-1.0,0,0,0,-46,9.099999999999994,82.44,MEDIUM
1055,4.338,0.292,0.0,-1.0,0,0,0,-46,13.599999999999994,82.54,MEDIUM
1060,5.236,0.194,0.0,-1.0,0,0,0,-46,14.299999999999997,82.54,MEDIUM
1065,4.498,0.402,0.0,-1.0,0,0,0,-46,13.599999999999994,82.54,MEDIUM
